hour,server,allocation,demand
0,S1,50.0,110
0,S2,0.0,110
0,S3,60.0,110
1,S1,50.0,137
1,S2,17.0,137
1,S3,70.0,137
2,S1,50.0,141
2,S2,21.0,141
2,S3,70.0,141
3,S1,50.0,146
3,S2,26.0,146
3,S3,70.0,146
4,S1,50.0,95
4,S2,0.0,95
4,S3,45.0,95
5,S1,50.0,121
5,S2,1.0,121
5,S3,70.0,121
6,S1,50.0,123
6,S2,3.0,123
6,S3,70.0,123
7,S1,50.0,145
7,S2,25.0,145
7,S3,70.0,145
8,S1,50.0,127
8,S2,7.0,127
8,S3,70.0,127
9,S1,50.0,97
9,S2,0.0,97
9,S3,47.0,97
10,S1,50.0,114
10,S2,0.0,114
10,S3,64.0,114
11,S1,50.0,80
11,S2,0.0,80
11,S3,30.0,80
12,S1,50.0,85
12,S2,0.0,85
12,S3,35.0,85
13,S1,50.0,126
13,S2,6.0,126
13,S3,70.0,126
14,S1,50.0,108
14,S2,0.0,108
14,S3,58.0,108
15,S1,50.0,82
15,S2,0.0,82
15,S3,32.0,82
16,S1,50.0,121
16,S2,1.0,121
16,S3,70.0,121
17,S1,50.0,113
17,S2,0.0,113
17,S3,63.0,113
18,S1,50.0,135
18,S2,15.0,135
18,S3,70.0,135
19,S1,50.0,103
19,S2,0.0,103
19,S3,53.0,103
20,S1,50.0,87
20,S2,0.0,87
20,S3,37.0,87
21,S1,50.0,119
21,S2,0.0,119
21,S3,69.0,119
22,S1,50.0,147
22,S2,27.0,147
22,S3,70.0,147
23,S1,50.0,99
23,S2,0.0,99
23,S3,49.0,99
